comment_text,true_label,predicted_label,weak_label,confidence,depression_score,matched_keywords,review_bucket,reviewer_note,error_type
"Đọc từng bức thư của các bạn,mình cảm thấy đồng cảm thật nhiều. Năm nay là năm cuối mình học cấp ba,đứng trước một kì thi THPTQG đầy khó khăn với nhiều thay đổi khiến mình cảm thấy áp lực và nghẹt thở.Lịch học luôn dày đặc,đối mặt với những bài kiểm tra,luôn phải cố gắng cân bằng cả ôn thi văn hoá và ôn năng khiếu.Tưởng chừng như với áp lực lớn như vậy thì bản thân sẽ được an ủi hay vỗ về,nhưng những điều nhận lại chỉ là những lời trách mắng về điểm số,so sánh đến từ những người thân yêu nhất.Điều đó khiến mình nhiều lúc muốn buông xuôi tất cả,nhưng rồi nhận ra bản thân còn cả một tương lai phía trước đang chờ.Vậy nên,mình cố gắng vực dậy tinh thần để tiến bước.Mình mong các bạn sẽ được bố mẹ yêu thương,đồng hành trong kì thi này và đạt được nguyện vọng mà mình ao ước.Nếu bạn giống như mình thì ôm bạn một cái,bạn đã chịu nhiều ấm ức rồi.Giờ là lúc chúng ta tiến lên để trở thành phiên bản tốt nhất của chính mình.Cố lên 2k8 <33 Bản thân mình từng bị bodyshaming về ngoại hình nên mình rất thương các bạn.Nếu không ai thương thì mình sẽ thương,dù chúng ta có lẽ chỉ là người lạ,vì các bạn là đều là những người rất đẹp.Mình cũng từng tự ti về ngoại hình của chính mình,đến nỗi ngay cả đứng trước gương cũng không dám,luôn cảm thấy mình thật xấu xí và có lẽ chẳng ai thương mình cả.Ngay cả người thân,họ hàng khi nhìn thấy mình chỉ toàn soi mói,bảo mình ''Béo như lợn'' hay ''giảm cân đi'' khiến mình luôn muốn né tránh.Những lúc ấy,chỉ có thể lén khóc một mình.Mẹ mình thì luôn nghe theo lời nói của người ngoài mà hùa theo chê bai mình.Khiến mình cảm thấy: Có lẽ mình không xứng đáng được yêu thương nhiều đến thế.Nhưng giờ,mình đã dũng cảm makeup,mặc một chiếc váy mình yêu thích mà trước giờ không dám mặc,ai cũng khen mình thật xinh.Tuy đó chỉ là một điều bình thường nhưng đối với mình,đó là một bước tiến rất lớn rồi. Mình hi vọng ai cũng sẽ được yêu thương và trân trọng 😘 Bởi vì các bạn đều xứng đáng được yêu và thấu hiểu <3",normal,depression,depression_auto,high,14,buông xuôi tất cả|áp lực|khóc một mình|tự ti|cố lên,depression_high,,false_positive
e k10 hôm nay e tình cờ nghe được list này trong tình trạng rớt hsxs kh đạt hb vì e học trường chuyên nên ai cũng đạt hsg roi em rất chán nản bất lực áp lực đến mức mỗi lần ngồi vào bàn học là bật khóc cúi t5 e có cuộc thi đt mong cho bản thân cũng như tất cả các sĩ tử dù đường đi có chông gai khó khăn thì cuối cùng vẫn đến đích như ý suôn sẻ đánh đổi những thử thách khó khăn để lấy tương lai hằng mong ước,normal,depression,depression_auto,high,9,áp lực|chán nản|bất lực,depression_high,,false_positive
"Hôm nọ đi chơi cùng đám bạn, có một cô bạn cảm thán rằng tại sao có nhiều người trông vẫn bình thường và chẳng có áp lực gì mà bỗng một ngày vẫn mắc trầm cảm rồi tự tử. Mình thì chưa đến mức mắc trầm cảm, chỉ là nhiều lúc hay chìm vào buồn bã và cô đơn, nhưng mình rất hiểu cho những con người trông có vẻ ""bình thường"" mà cô bạn nhắc tới. Nhiều khi người ta tỏ ra bình thường nhưng thế giới bên trong người ta đang xao động như thế nào thì mình chẳng thể biết được. Có những khoảnh khắc lo âu, buồn bã mà chẳng thể giãi bày với bất kỳ ai. Cái nỗi buồn cùng cực kèm theo sự không tìm thấy hi vọng sống một ngày nào đó có thể lôi người ta đi bất cứ lúc nào. Không phải cứ trải qua những biến động khủng khiếp mới có nguy cơ bị trầm cảm, đôi khi thiếu đi sự đồng hành và sẻ chia đúng cách của những người xung quanh cũng có thể là một nguồn cơn tinh vi đưa người ta đến gần hơn với cái chết",normal,depression,depression_auto,high,19,tự tử|trầm cảm|cô đơn|áp lực|lo âu,depression_high,,false_positive
Những người giới tính thứ ba khổ lắm không hiểu không thương cho họ thì thôi đừng duy nghị họ họ cũng khổ lắm lúc trước thần em mình cũng là giới tính thứ ba và dòng họ ai cũng đánh nó nó tuyệt vọng tự tử 😌,normal,depression,depression_auto,high,10,tự tử|tuyệt vọng,depression_high,,false_positive
"1. Bản chất của việc trị liệu Đi vào bên trong: Cách tốt nhất để chữa lành vết thương tâm hồn là phải dũng cảm quay về đối diện với chính nó thay vì trốn chạy. Thái độ đúng đắn: Không nên xem nỗi đau là ""quái thú"" để sợ hãi hay xua đuổi. Cần tiếp cận bằng sự thư giãn, bình an và một thái độ ""biết ơn"" vì nó là cơ hội để ta tỉnh thức. 2. Năng lực Chánh niệm (Mindfulness) Sự hiện diện: Chánh niệm là khả năng có mặt trọn vẹn trong hiện tại, gác lại quá khứ và tương lai. Quan sát thuần khiết: Khi nỗi đau (con chó dữ) xuất hiện, ta chỉ giữ sự quan sát thuần khiết: không đàn áp, không dán nhãn, không phán xét, chỉ ghi nhận những gì đang diễn ra. Xây dựng ""tài khoản"" bình an: Cần thực hành thiền tập khi tâm đang ổn để tích lũy năng lượng bình an. Khi nỗi đau quay lại, ta đã có sẵn nguồn lực để chăm sóc nó. 3. Hình ảnh ""Em bé bị tổn thương"" Thừa nhận: Trong mỗi người (đặc biệt là người trầm cảm, lo âu) đều có một ""em bé"" chưa lớn, bị tổn thương từ quá khứ (bạo hành, bỏ rơi, kỳ thị). Chăm sóc như người mẹ: Hãy đối xử với nỗi đau như cách bà mẹ ôm ấp đứa trẻ đang khóc: bỏ hết việc, ôm vào lòng bằng sự đôn hậu và nhìn sâu để hiểu tại sao đứa bé khóc. 4. Kinh nghiệm thực tế của Thầy Minh Niệm Thầy chia sẻ lộ trình tự chữa lành của chính mình trong 5 năm qua 3 phương trụ chính: Kết nối thiên nhiên: Dành thời gian đi hiking, vào rừng để các giác quan nhạy bén và ý thức được làm mới. Thiền tập: Dồn 100% tâm huyết vào việc thực hành chánh niệm trong mọi sinh hoạt. Thể thao: Tập luyện các môn như chạy bộ, xe đạp, leo núi, boxing để nâng đỡ tinh thần. 5. Ý nghĩa của khổ đau Tặng phẩm của đất trời: Nếu không có khổ đau, ta sẽ không biết thế nào là hạnh phúc thực sự. Trở thành nhà trị liệu: Sau khi tự chữa lành, mỗi người có thể trở thành một nhà trị liệu giỏi để giúp đỡ những người xung quanh cũng đang mang vết thương lòng.",normal,depression,depression_auto,high,11,trầm cảm|lo âu|tổn thương|hãy chia sẻ,depression_high,,false_positive
Những người bị ton thương tâm lý bệnh trầm cảm hiện nay nhất là những bạn trẻ và các anh chị đồng trang lứa tuổi như con và một số người lớn tuổi cô đơn ít có con cháu gần gũi bên cạnh sẽ chia tâm sự an ủi họ rất là cần đến sự chua lành với những vết thương bên trong tâm hồn và thể xác cả quá khứ và hiện tại giữa thời buổi hiện đại ngày nay đó thầy ạ a Di Đà Phật,normal,depression,depression_auto,high,11,trầm cảm|cô đơn|tổn thương,depression_high,,false_positive
"Vài dòng cho ""Sài Gòn đau lòng quá"". Mấy nay thực sự sống trong cảm giác vừa vui vừa stress đến lả đi. Teaser của #SGDLQ được viral khắp nơi và nhận được nhiều lời khen từ mọi người. Mình rất vui nhưng cũng rất áp lực rằng nhỡ như bản full không vừa ý mọi người thì sao 😂😂😂. Nghe hơi tào lao với 1 đứa đã chinh chiến bao nhiêu bài hát nhưng nó là sự thật đó quý vị haha. Thậm chí mình còn nghĩ đến phương án hay là thôi, xóa MV đi để cho bài hát này mãi mãi dừng lại ở 30s của teaser để nó luôn hay như thế trong lòng khán giả =))))). Với mình, #SGDLQ là một ca khúc rất đặc biệt vì nó tốn của mình hơn 3 năm trời để hoàn thành. Rất nhiều ca sĩ nghe được 4 câu điệp khúc của bài đều năn nỉ mình bán đi và trả giá rất cao nhưng mình không bán được tại vì ca khúc này nó là vô giá. #SGDLQ chứa đựng hết cảm xúc của mình trong suốt những mối tình đã đi qua. Mỗi người, mình lại viết thêm được vài câu, chắp vá, như mình mô tả trong bài là ""nhặt từng mảnh vỡ xếp vào vali"". Thế nên ca khúc này viết ra không phải là để hit, mà là để xoa dịu, khép lại và đánh dấu hành trình trưởng thành của mình trong suốt giai đoạn 21 - 25 tuổi. Và rất may mắn, mình tìm được Hoàng Duyên đồng cảm và đồng điệu để cùng kể nên câu chuyện này. Đây là một ca khúc rất đặc biệt vì cái tone này nam/nữ đều hát được. Thế nên mọi người nếu ai đã từng đau lòng vì Sài Gòn thì hãy đeo tai nghe, nhắm mắt và nghe Tuyền với Duyên kể câu chuyện để cảm thấy được dịu xoa, an ủi. Sau đó nếu được, hãy cùng nhau hát lại, nha. #SaiGonDauLongQua #HuaKimTuyen #HoangDuyen #SGDLQ",normal,depression,depression_auto,high,9,áp lực|stress|đau lòng,depression_high,,false_positive
"Mẹ tui thường bảo rằng đi học làm j áp lực chỉ có đi làm mới áp lực nhưng mà người lớn làm sao hiểu rằng đi học đối với trẻ em lại là 1 áp lực khi chuẩn bị thi thì các bạn học sinh phải học từ sáng tới tối mà còn bị trách mắng chỉ vì điểm kém? Nhưng ba mẹ cũng từng là học sinh cũng từng phải thi nhưng mà tại sao lại cứ trách mắng con cái chỉ vì điểm số? Chả lẽ nào trong mắt bố mẹ sức khoẻ không quan trọng bằng điểm số sao? Những lúc học sinh học mệt đến mức bật khóc nhưng ba mẹ lại chỉ trích,so sánh con cái với con ngkh.Chỉ vì những lời trách mắng,áp lực từ điểm số mà lại khiến nhiều trẻ em bị trầm cảm nặng tới mức 44 luôn sao?",normal,depression,depression_auto,high,8,trầm cảm|áp lực,depression_high,,false_positive
Ai bị bệnh lo âu trầm cảm thì hãy tập Pháp luân công,normal,depression,depression_auto,high,8,trầm cảm|lo âu,depression_high,,false_positive
Trầm cảm hiện đang rất phổ biến đặc biệt là ở học sinh do áp lực thi cử học tập ngày càng cao,normal,depression,depression_auto,high,8,trầm cảm|áp lực,depression_high,,false_positive
