annotation_id,comment_text,pii_pattern_flag,final_label,review_status,reviewer_note
PHO_POS_000001,"cả 5 dấu hiệu em đều có. Đi ăn, xem phim, đi chơi, ốm đau,...đa số đều 1 mình. Nhưng em không thấy cô đơn. Em cũng có vài người bạn thân, nếu có chuyện mình alo cái là gặp liền. Căn bản em thích 1 mình á anh, gặp ít ít cũng được Nhưng cái cuối, trong suốt...cảm giác này em có ạ. Em thấy mình trên lớp trong suốt như tấm kính ấy, em cố mặc kín mít để giảm bớt sự ""trong suốt"" này nhưng không thể. Và chuyện này nguyên do là do tình trạng học hành trong 1 thời gian dài sa sút. Em rất sợ, rất ám ảnh với bài tập, với thầy cô bạn bè, sợ đến lớp lắm ạ...",False,,,
PHO_POS_000002,Tôi thực sự ghét chính mình ...,False,,,
PHO_POS_000003,Đêm qua tôi không ngủ được ít nào ấy ạ,False,,,
PHO_POS_000004,"Mình từng bị thất tình, cảm giác rất đau khổ, ko thể nói nên lời, muốn viết đôi điều tâm sự nhưng lại ko dám viết và từng làm nhũng điều điên cuồng mà hai mấy năm có ngủ mơ cũng không nghĩ là mình sẽ làm. Từng yêu sâu đậm một người và rồi bị đơn phương chia tay với lý do hết yêu, hết duyên phận. Ban ngày đi làm mình cố cắm đầu vào công việc, cứ rảnh chút là nghĩ về nó, đêm đến là những giọt nước mắt lăn dài và mình đã mất 2 năm để quên đi tất cả. Và dường như đó cũng là sự trớ trêu, sau 2 năm người đó nói lời muốn quay lại mình đã nhẹ nhàng buông lòng thắng thắn phũ phàng, rồi cả em gái và bác trai người ta gọi điện muốn nối lại tình xưa cho bọn mình. Mình thấy thật nực cười. Mong rằng Trâm và Tùng sẽ cùng nhau đi tới bến hạnh phúc. Nếu có ngã rẽ chia đôi thì mình cũng là người ủng hộ Trâm, cầu chúc Trâm tìm đc hạnh phúc. Yêu mà phải chia tay vì biết người ta ko còn dành tình cảm cho mình, mình thấy Trâm thật mạnh mẽ. Trước đây mình không làm được như vậy. Cố lên em. THƯƠNG EM",False,,,
PHO_POS_000005,"para quien sea que lea este comentario en el futuro, le recomiendo leer sociedad del cansancio, yo llegue a ver este video en mi feed y me metí porque me imaginaba que iba a tocar este tema, acerté.",False,,,
PHO_POS_000006,"bao giờ chủ tus làm về việc bị ép, cảm giác bất lực ko thay đổi đc những thứ mình lo sợ khiến mình đau nhói mỗi khi nghĩ tới luôn kìm nén cảm xúc vì nghĩ nếu thể hiện ra thì sẽ bị bảo là ""lằng nhằng làm quá, ko nghĩ đến ai chỉ nghĩ đến mình""",False,,,
PHO_POS_000007,Buồn đau tự khóc rồi tự vượt qua 1 mình 1 cô gái sống nội tâm thật sự rất khổ,False,,,
PHO_POS_000008,"4 năm rồi mình vẫn đang vật lộn với chính căn bệnh này mình thật sự đã rất mệt mỏi mỗi lần thu mình lại tự khóc vào ban đêm,ko ai xung quanh mình hiểu đc về căn bệnh mình mất,đúng v k nên tốn nhiều thì giờ cho một kẻ trầm cảm ha",False,,,
PHO_POS_000009,"Một người phụ nữ mình Xem là tất cả để sống và đột nhiên người phụ nữ đó rồi xa mình từ từ rồi,nếu kéo cũng không thể được nữa,nó đau đớn tột cùng và đán sợ lắm M.n ơi 😭😭",False,,,
PHO_POS_000010,Nó áp lực lắm Nó mệt mỏi Nó tốn nước mắt lắm Nó làm e khóc nhiều lắm e chỉ muốn chet,False,,,
